Date,Interest_Rate,CPI,Unemployment,GDP_Growth
2022-01,0.25,281.9,4.0,1.7
2022-02,0.25,283.7,3.8,1.6
2022-03,0.50,287.5,3.6,1.4
2022-04,0.75,289.1,3.6,1.3
2022-05,1.00,292.3,3.6,1.2
2022-06,1.50,296.3,3.6,1.0
2022-07,2.25,296.3,3.5,0.7
2022-08,2.50,296.2,3.7,0.6
2022-09,3.00,296.8,3.5,0.6
2022-10,3.25,298.0,3.7,0.9
2022-11,3.75,297.7,3.6,1.0
2022-12,4.25,297.1,3.5,0.9
2023-01,4.50,299.2,3.4,0.8
2023-02,4.50,300.8,3.6,0.9
2023-03,4.75,301.8,3.5,1.1
2023-04,4.75,302.6,3.4,1.2
2023-05,5.00,303.3,3.7,1.3
2023-06,5.00,303.8,3.6,1.5
2023-07,5.25,304.3,3.5,1.7
2023-08,5.25,304.7,3.8,1.8
2023-09,5.25,306.0,3.7,1.9
2023-10,5.25,306.4,3.9,2.1
2023-11,5.25,307.3,3.7,2.2
2023-12,5.25,307.1,3.7,2.3 